geoid,baseline_distance,raw_distance,change_distance
245100202002006,184.7,184.7,0.0
245100202002007,125.9,125.9,0.0
245100202002008,236.8,240.5,3.6999999999999886
245100202002009,295.8,297.2,1.3999999999999773
245100202002010,325.7,353.7,28.0
245100202002011,427.8,544.8,116.99999999999994
245100202002012,390.6,507.7,117.09999999999997
245100203001000,160.0,500.2,340.2
245100203001001,58.0,398.3,340.3
245100203001002,123.1,351.0,227.9
245100203001003,177.3,295.5,118.19999999999999
245100203001004,229.9,349.6,119.70000000000002
245100203001005,288.4,408.1,119.70000000000005
245100203001006,352.6,472.3,119.69999999999999
245100203001007,462.2,579.3,117.09999999999997
245100203001008,569.4,711.1,141.70000000000005
245100203001009,471.5,613.2,141.70000000000005
245100203001010,469.7,611.4,141.7
245100203001011,443.4,588.5,145.10000000000002
245100203001012,320.2,464.9,144.7
245100203001013,210.0,464.1,254.10000000000002
245100203001014,141.1,506.5,365.4
245100203001015,188.7,529.0,340.3
245100203001016,230.0,595.2,365.20000000000005
245100203001017,313.8,679.0,365.2
245100203001018,234.1,599.6,365.5
245100203002000,595.2,722.6,127.39999999999998
245100203002001,512.3,750.7,238.4000000000001
245100203002002,451.7,811.8,360.09999999999997
245100203002003,388.8,874.4,485.59999999999997
245100203002004,377.3,884.8,507.49999999999994
245100203002005,178.8,1082.1,903.3
245100203002006,263.1,997.9,734.8
245100203002007,255.9,1118.7,862.8000000000001
245100203002008,318.4,1055.2,736.8000000000001
245100203002009,384.9,983.5,598.6
245100203002010,508.5,862.3,353.79999999999995
245100203002011,507.8,861.5,353.7
245100203002012,583.5,786.9,203.39999999999998
245100203002013,652.0,898.2,246.20000000000005
245100203002014,577.6,973.3,395.69999999999993
245100203002015,515.5,1034.6,519.0999999999999
245100203002016,454.9,1096.6,641.6999999999999
245100203002017,454.9,1096.6,641.6999999999999
245100203002018,329.0,1229.9,900.9000000000001
245100203002019,246.9,1306.9,1060.0
245100203002020,177.8,1194.8,1017.0
245100203002021,676.2,1209.6,533.3999999999999
245100203002022,704.9,1036.1,331.19999999999993
245100203002023,776.4,965.2,188.80000000000007
245100203002024,884.7,1123.5,238.79999999999995
245100203002025,962.0,1110.8,148.79999999999995
245100203002026,556.3,1208.6,652.3
245100203002027,494.8,1343.0,848.2
245100203002028,334.6,1409.2,1074.6
245100203002029,432.5,1500.3,1067.8
245100203002030,807.2,1409.7,602.5
245100203002031,691.3,1516.9,825.6000000000001
245100203002032,699.9,1411.0,711.1
245100203002033,872.9,1433.1,560.1999999999999
245100203003000,216.6,582.1,365.5
245100203003001,433.0,578.1,145.10000000000002
245100203003002,491.7,636.8,145.09999999999997
245100203003003,586.0,726.8,140.79999999999995
245100203003004,653.6,794.4,140.79999999999995
245100203003005,685.7,826.4,140.69999999999993
245100203003006,786.6,926.2,139.60000000000002
245100203003007,699.1,844.3,145.19999999999993
245100203003008,651.3,796.5,145.20000000000005
245100203003009,584.0,728.5,144.5
245100203003010,864.7,1009.2,144.5
245100203003011,727.7,872.3,144.5999999999999
245100203003012,670.3,814.9,144.60000000000002
245100203003013,801.1,947.3,146.19999999999993
245100203003014,710.8,857.1,146.30000000000007
245100301001000,611.7,611.7,0.0
245100301001001,771.1,771.1,0.0
245100301001002,753.7,940.1,186.39999999999998
245100301001003,701.6,1019.1,317.5
245100301001004,620.0,819.4,199.39999999999998
245100301001005,833.0,902.6,69.60000000000002
245100301001006,891.0,960.6,69.60000000000002
245100301001007,687.2,687.2,0.0
245100301001008,617.0,617.0,0.0
245100301001009,598.6,598.6,0.0
245100301001010,561.2,561.2,0.0
245100301001011,489.5,489.5,0.0
245100301001012,488.5,488.5,0.0
245100301001013,422.7,422.7,0.0
245100301001014,468.5,468.5,0.0
245100301001015,490.8,490.8,0.0
245100301001016,515.4,515.4,0.0
245100301001017,642.5,683.4,40.89999999999998
245100301001018,558.9,704.0,145.10000000000002
245100301001019,490.2,772.7,282.50000000000006
245100301001020,404.3,858.7,454.40000000000003
245100301001021,612.8,812.3,199.5
245100301001022,655.4,932.3,276.9
245100301001023,364.9,891.1,526.2
245100301001024,498.1,760.5,262.4
245100301001025,499.0,759.6,260.6
245100301001026,559.2,700.3,141.0999999999999
245100301001027,587.4,604.1,16.700000000000045
245100301001028,483.5,485.4,1.8999999999999773
245100301001029,329.6,927.9,598.3
245100301001030,290.5,970.0,679.5
245100301002000,1041.2,1041.2,0.0
245100301002001,992.7,992.7,0.0
245100301002002,1094.5,1094.5,0.0
245100301002003,1145.4,1145.4,0.0
245100301002004,1131.4,1131.4,0.0
245100301002005,1127.8,1184.1,56.299999999999955
245100301002006,1057.9,1236.4,178.5
245100301002007,1039.9,1258.1,218.19999999999982
245100301002008,986.1,1234.0,247.89999999999998
245100301002009,1048.5,1169.4,120.90000000000009
245100301002010,1111.3,1111.3,0.0
245100301002011,1013.0,1013.0,0.0
245100301002012,946.3,946.3,0.0
245100301002013,863.6,863.6,0.0
245100301002014,894.1,894.1,0.0
245100301002015,956.2,956.2,0.0
245100301002016,1027.8,1027.8,0.0
245100301002017,1023.0,1138.9,115.90000000000009
245100301002018,980.1,1093.3,113.19999999999993
245100301002019,1027.5,1027.5,0.0
245100301002020,903.3,903.3,0.0
245100301002021,864.4,864.4,0.0
245100301002022,756.3,756.3,0.0
245100301002023,807.9,807.9,0.0
245100301002024,711.2,711.2,0.0
245100301002025,897.3,897.3,0.0
245100301002026,984.4,984.4,0.0
245100301002027,830.6,1140.7,310.1
245100301002028,854.3,1035.4,181.10000000000014
245100301002029,943.9,943.9,0.0
245100302001000,1059.0,1424.5,365.5
245100302001001,1026.7,1494.6,467.89999999999986
245100302001002,835.8,1296.8,461.0
245100302001003,833.9,1445.7,611.8000000000001
245100302001004,875.7,1526.6,650.8999999999999
245100302001005,971.6,1622.4,650.8000000000001
245100302001006,974.8,1639.6,664.8
245100302001007,973.9,1740.8,766.9
245100302001008,1001.7,1811.5,809.8
245100302001009,883.5,1557.7,674.2
245100302001010,880.6,1554.8,674.1999999999999
245100302001011,847.2,1498.1,650.8999999999999
245100302001012,807.8,1419.7,611.9000000000001
245100302001013,831.3,1358.2,526.9000000000001
245100302001014,917.1,1304.0,386.9
245100302001015,869.4,1179.5,310.1
245100302001016,717.1,1085.1,367.9999999999999
245100302001017,702.2,1172.2,470.0
245100302001018,786.0,1259.8,473.79999999999995
245100302001019,732.4,1316.2,583.8000000000001
245100302001020,698.3,1352.8,654.5
245100302001021,805.3,1459.8,654.5
245100302001022,799.6,1498.8,699.1999999999999
245100302001023,802.4,1501.6,699.1999999999999
245100302001024,897.3,1707.1,809.8
245100302001025,895.8,1705.5,809.7
245100302001026,1003.4,1813.2,809.8000000000001
245100302001027,692.9,1234.1,541.1999999999999
245100302001028,690.0,1344.6,654.5999999999999
245100302001029,577.1,1188.9,611.8000000000001
245100302001030,691.5,1252.2,560.7
245100302001031,491.5,1103.4,611.9000000000001
245100302001032,489.3,1025.6,536.3
245100302001033,680.8,998.3,317.5
245100302001034,586.0,1025.6,439.5999999999999
245100302001035,670.6,1369.0,698.4
245100302001036,635.8,1334.2,698.4000000000001
245100302001037,595.8,1294.3,698.5
245100302001038,554.3,1252.7,698.4000000000001
245100302001039,590.9,1289.3,698.4
245100302001040,485.9,1192.1,706.1999999999999
245100302001041,450.5,1130.5,680.0
245100302001042,446.5,1058.3,611.8
245100302001043,449.9,988.7,538.8000000000001
245100302001044,706.1,1515.8,809.6999999999999
245100302001045,758.0,1567.8,809.8
245100302001046,638.0,1447.8,809.8
245100302001047,667.2,1476.9,809.7
245100302002000,531.9,887.3,355.4
245100302002001,391.0,900.6,509.6
245100302002002,426.9,1038.7,611.8000000000001
245100302002003,374.3,1098.5,724.2
245100302002004,398.9,1143.3,744.4
245100302002005,434.4,1183.1,748.6999999999999
245100302002006,510.9,1217.1,706.1999999999999
245100302002007,494.5,1304.3,809.8
245100302002008,554.3,1440.7,886.4000000000001
245100302002009,592.4,1478.8,886.4
245100302002010,630.7,1517.1,886.3999999999999
245100302002011,360.3,1462.5,1102.2
245100302002012,329.5,1583.4,1253.9
245100302002013,272.7,1526.5,1253.8
245100302002014,286.5,1482.4,1195.9
245100302002015,285.7,1539.5,1253.8
245100302002016,332.0,1574.2,1242.2
245100302002017,142.7,1302.0,1159.3
245100302002018,255.3,1509.2,1253.9
245100302002019,323.5,1507.4,1183.9
245100302002020,274.2,1470.1,1195.8999999999999
245100302002021,500.9,1251.4,750.5000000000001
245100302002022,361.0,1209.9,848.9000000000001
245100302002023,342.8,1193.9,851.1000000000001
245100302002024,296.3,1093.8,797.5
245100302002025,350.5,1007.4,656.9
245100302002026,363.7,890.2,526.5
245100302002027,298.3,967.5,669.2
245100302002028,224.0,1111.6,887.5999999999999
245100302002029,205.4,1372.7,1167.3
245100302002030,182.5,1255.8,1073.3
245100302002031,200.1,1100.7,900.6
245100302002032,224.6,1035.9,811.3000000000001
245100302002033,139.3,1116.6,977.3
245100302002034,68.6,1192.4,1123.8000000000002
245100302002035,205.0,1281.4,1076.4
245100302002036,98.5,1311.7,1213.2
245100302002037,190.2,1386.1,1195.8999999999999
245100302002038,155.8,1409.7,1253.9
245100302002039,35.9,1289.8,1253.8999999999999
245100302002040,248.3,1450.3,1202.0
245100302002041,230.4,1484.3,1253.8999999999999
245100302002042,363.2,1617.0,1253.8
245100302002043,235.2,1152.5,917.3
245100401001000,549.6,2365.5,1815.9
245100401001001,550.4,2479.2,1928.7999999999997
245100401001002,445.3,2494.0,2048.7
245100401001003,442.6,2632.8,2190.2000000000003
245100401001004,401.3,2674.1,2272.7999999999997
245100401001005,324.4,2457.5,2133.1
245100401001006,442.3,2342.6,1900.3
245100401001007,507.9,2252.8,1744.9
245100401001008,517.5,2181.8,1664.3000000000002
245100401001009,341.8,2593.6,2251.7999999999997
245100401001010,379.8,2594.4,2214.6
245100401001011,400.2,2566.4,2166.2000000000003
245100401001012,276.3,2555.8,2279.5
245100401001013,242.8,2669.3,2426.5
245100401001014,345.5,2621.6,2276.1
245100401001015,349.2,2601.0,2251.8
245100401001016,291.9,2594.2,2302.2999999999997
245100401001017,437.5,2486.2,2048.7
245100401001018,350.3,2575.5,2225.2
245100401001019,207.0,2437.2,2230.2
245100401001020,321.2,2387.3,2066.1000000000004
245100401001021,366.8,2345.7,1978.8999999999999
245100401001022,408.5,2235.7,1827.1999999999998
245100401001023,510.7,2199.6,1688.8999999999999
245100401001024,644.5,1999.6,1355.1
245100401001025,657.9,1986.2,1328.3000000000002
245100401001026,768.9,1875.3,1106.4
245100401001027,724.2,1976.8,1252.6
245100401001028,614.5,2085.8,1471.3000000000002
245100401001029,537.9,2173.9,1636.0
245100401001030,461.5,2251.1,1789.6
245100401001031,1021.9,1692.5,670.6
245100401001032,826.4,1872.7,1046.3000000000002
245100401001033,693.5,2005.5,1312.0
245100401001034,613.3,2101.0,1487.7
245100401001035,578.8,2135.6,1556.8
245100401001036,506.5,2198.3,1691.8000000000002
245100401001037,309.3,2391.0,2081.7
245100401001038,241.7,2484.6,2242.9
245100401001039,225.0,2480.5,2255.5
245100401001040,314.3,2394.2,2079.8999999999996
245100401001041,296.1,2409.3,2113.2000000000003
245100401001042,824.6,2021.1,1196.5
245100401001043,896.9,1948.1,1051.1999999999998
245100401001044,966.6,1879.4,912.8000000000001
245100401001045,1057.2,1722.0,664.8
245100401001046,901.5,1711.2,809.7
245100401001047,1096.5,1761.3,664.8
245100401001048,1001.0,1810.8,809.8
245100401001049,1041.3,1914.5,873.2
245100401001050,958.3,2014.0,1055.7
245100401001051,784.8,2057.1,1272.3
245100401001052,765.7,2106.9,1341.2
245100401001053,616.8,2102.3,1485.5000000000002
245100401001054,586.9,2211.5,1624.6
245100401001055,508.9,2252.0,1743.1
245100401001056,494.1,2232.6,1738.5
245100401001057,438.2,2288.2,1849.9999999999998
245100401001058,268.0,2436.1,2168.1
